id;title;content;date
1;athwart annual given;../fake-data/blob/hipster.txt;2024-04-20T17:31:01
2;yahoo till;../fake-data/blob/hipster.txt;2024-04-20T17:02:11
3;favorite;../fake-data/blob/hipster.txt;2024-04-20T04:26:58
4;engine;../fake-data/blob/hipster.txt;2024-04-20T15:39:56
5;but;../fake-data/blob/hipster.txt;2024-04-20T00:35:21
6;unless apropos thrift;../fake-data/blob/hipster.txt;2024-04-20T02:21:52
7;gelding regular;../fake-data/blob/hipster.txt;2024-04-20T15:41:28
8;meanwhile than rightfully;../fake-data/blob/hipster.txt;2024-04-20T02:33:27
9;bah because;../fake-data/blob/hipster.txt;2024-04-20T05:10:13
10;sternly upon peen;../fake-data/blob/hipster.txt;2024-04-20T10:02:03
